标题,价格,样式,楼层,朝向,面积,小区,地址
鼎新大楼，实地看房，一链倾城，生活很便利,12000元/月,2室 1厅,低区/20层,暂无数据,徐汇 建国西路,鼎新大楼(公寓),肇嘉浜路288号
虹桥豪苑，有钥匙方便看，高区景观好，出行方便,18000元/月,2室 2厅,高区/37层,朝南,长宁 虹桥,虹桥豪苑,紫云路118弄
高清大图，采光棒，地铁沿线，2室1厅,3800元/月,2室 1厅,高区/6层,暂无数据,宝山 共富,共富一村,"共富一村,共富路99弄"
永福路147弄，小户型，生活很便利，一链倾城,4600元/月,1室 1厅,低区/5层,暂无数据,徐汇 衡山路,永福路147弄,永福路147弄
河风丽景，附近有地铁，2室2厅1卫，链家房源,11000元/月,2室 2厅,高区/16层,暂无数据,长宁 天山,河风丽景,天山路88弄
宛南华侨新村，交通方便，真实在租，高区采光好,7000元/月,3室 1厅,高区/6层,暂无数据,徐汇 龙华,宛南华侨新村,宛南华侨新村
高清实拍，简约二室，人气房源，链家好房,5500元/月,2室 0厅,高区/7层,朝南北,黄浦 打浦桥,斜土新村,打浦路316弄
澳门小区，近地铁，采光好，有钥匙方便看,4000元/月,1室 1厅,高区/7层,暂无数据,普陀 长寿路,澳门小区,澳门路660弄
金地格林世界，附近有地铁，有钥匙房源，放心好房,5600元/月,2室 2厅,中区/18层,暂无数据,嘉定 南翔,金地格林世界(卢尔公寓),芳林路333弄
证大家园，舒适三室，人气房源，有钥匙方便看,7500元/月,3室 2厅,中区/11层,暂无数据,浦东 金桥,证大家园（公寓）,五莲路1728弄，巨峰路399弄，五莲路......
新世纪花苑，链家房源，近地铁，钥匙房,4500元/月,1室 1厅,高区/6层,朝南,浦东 世博,新世纪花苑（三期）（浦东）,耀华路579弄1-127号
2室2厅，有钥匙房源，链家好房，人气房源,6500元/月,2室 2厅,低区/25层,暂无数据,浦东 潍坊,东欣小区,"崂山路571弄,崂山东路571弄"
放心好房，附近有地铁，钥匙在店，实地看房,3800元/月,2室 1厅,中区/6层,暂无数据,宝山 大场镇,环镇北路500弄,环镇北路500弄
实地看房，南北通，真实在租，上门实拍,4500元/月,2室 1厅,低区/14层,朝南北,闵行 颛桥,金铭文博水景(公寓),都市路2501弄
保利西子湾，空气清新，链家房源，看房有钥匙,3800元/月,2室 2厅,中区/14层,朝南,松江 松江大学城,保利西子湾,广富林路1188弄
浣纱三村，上门实勘，真实在租，高区采光好,6600元/月,2室 2厅,高区/6层,暂无数据,杨浦 黄兴公园,浣纱三村,浣纱三村
有爱有家，高清实拍，交通方便，精致户型,11000元/月,2室 2厅,低区/37层,朝南,闸北 西藏北路,蒙特利名都城,"永兴路39弄,永兴路99弄"
附近有地铁，看房有钥匙，2室1厅1卫，高区景观好,3000元/月,2室 1厅,高区/6层,朝南,闵行 老闵行,沧源小区,"沧源路770弄,东川路925弄"
人气房源，近地铁，钥匙在店，适合自住,5200元/月,2室 1厅,中区/5层,朝南,闸北 彭浦,彭浦新村,彭浦新村
鞍山四村第一小区，好楼层，2室1厅，人气房源,4600元/月,2室 1厅,中区/5层,暂无数据,杨浦 鞍山,鞍山四村第一小区,"抚顺路373弄,"
保利西子湾，看房方便，附近有地铁，实地看房,4500元/月,2室 2厅,中区/11层,朝南北,松江 松江大学城,保利西子湾,广富林路1188弄
黄浦众鑫城，附近有地铁，钥匙房，3室2厅,17900元/月,3室 2厅,高区/31层,朝南,黄浦 老西门,黄浦众鑫城,西藏南路555弄
实地看房，视野很好，近地铁，一链倾城,11500元/月,2室 2厅,高区/29层,朝南,浦东 源深,山水国际,羽山路383弄
出行方便，上门实勘，看房方便，南北通,21000元/月,3室 2厅,高区/34层,朝南北,普陀 长寿路,华侨城,西康路989弄
实地看房，如您所见，高清照片，交通方便,4200元/月,2室 1厅,低区/27层,暂无数据,松江 松江大学城,星辰园（公寓）,梅家浜路1505弄
地铁沿线，钥匙在店，低区出入方便，人气房源,5800元/月,3室 2厅,中区/5层,暂无数据,宝山 共富,共富四村,"共富路351弄（富成园）,联泰路518弄......"
有钥匙房源，高区景观房，享受好房，适合自住,11500元/月,2室 2厅,高区/20层,暂无数据,长宁 中山公园,武夷花园,武夷路718弄
3室2厅1卫，链家有钥匙，如您所见，实地看房,9000元/月,3室 2厅,高区/30层,朝南,闵行 古美,万源城尚郡,万源路580弄
有钥匙，生活很便利，链家房源，视野开阔,3800元/月,2室 1厅,高区/6层,朝南,宝山 共富,共富一村,"共富一村,共富路99弄"
南丹小区，舒适三室，交通方便，上门实勘,10000元/月,3室 2厅,低区/6层,暂无数据,徐汇 徐家汇,南丹小区,"宜山路60弄,"
百花公寓，高清大图，1室2厅，交通方便,9500元/月,1室 2厅,高区/29层,暂无数据,黄浦 蓬莱公园,百花公寓,"保屯路36弄1-8号,保屯路38号,斜土......"
新梅花苑，享受好房，低楼层，1室2厅1卫,4500元/月,1室 2厅,低区/6层,朝西南,闵行 古美,新梅花苑,"报春路388弄,报春路488弄"
长城苑，放心好房，钥匙在店，地铁沿线,5600元/月,1室 2厅,低区/28层,朝南,闸北 西藏北路,长城苑,虬江路1368弄
田林七村，好房好心情，上下楼方便，实地看房,6200元/月,2室 1厅,低区/6层,暂无数据,徐汇 田林,田林七村,田林七村
生活很便利，放心好房，人气房源，看房方便,3800元/月,2室 0厅,高区/6层,朝南,徐汇 华东理工,华理苑,"梅陇路130号,梅陇路华理苑"
新青浦花苑，链家房源，高清照片，高区采光好,3300元/月,3室 2厅,高区/6层,暂无数据,青浦 夏阳,新青浦花苑（公寓）,"体育场路68弄,外青松公路6048弄"
培兴小区，好房待租，交通方便，低区出入方便,7500元/月,2室 1厅,低区/7层,暂无数据,静安 江宁路,培兴小区,昌平路421弄
张江汤臣豪园一期，好房好心情，人气房源，低楼层,9000元/月,2室 2厅,低区/8层,暂无数据,浦东 张江,张江汤臣豪园一期(公寓),晨晖路377弄
潼港八村，链家好房，高清实拍，实地看房,2800元/月,1室 1厅,低区/6层,朝南,浦东 外高桥,潼港八村,"潼港八村,"
鹤北新村，链家有钥匙，近地铁，2室1厅,3500元/月,2室 1厅,中区/6层,暂无数据,闵行 老闵行,鹤北新村,鹤庆路136弄
链家有钥匙，一链倾城，地铁沿线，实地看房,2800元/月,2室 1厅,中区/5层,暂无数据,浦东 川沙,新川小区,新川路279弄
祁连二村，实地看房，地铁沿线，1室1厅1卫,2800元/月,1室 1厅,中区/6层,朝南,宝山 上大,祁连二村,祁连二村
巨西小区，低区出入方便，精致户型，上门实勘,5800元/月,2室 1厅,低区/6层,朝南,浦东 洋泾,巨西小区,沈家弄路900弄1-22号
上门实勘，视野很好，实地看房，2室1厅1卫,4500元/月,2室 1厅,高区/6层,朝南北,闵行 古美,新梅花苑,"报春路388弄,报春路488弄"
好房好心情，交通方便，人气房源，低区出入方便,6800元/月,1室 0厅,低区/3层,暂无数据,黄浦 新天地,松韵小区,复兴中路498弄
康泉小区，一链倾城，有钥匙房源，采光好,3100元/月,1室 0厅,高区/6层,暂无数据,闸北 彭浦,康泉小区,"三泉路770弄,三泉路820弄"
出行方便，看房有钥匙，链家好房，实地看房,3800元/月,2室 1厅,高区/6层,暂无数据,闸北 彭浦,银都二村(闸北),三泉路895弄
看房方便，人气房源，上门实拍，近地铁,9500元/月,3室 2厅,低区/18层,朝南,徐汇 龙华,天龙公寓,天钥桥路907号
九联小区，近地铁，温馨之家，采光好,4800元/月,1室 1厅,高区/15层,朝南,虹口 北外滩,九联小区,唐山路708弄1-3号
2室2厅，人气房源，如您所见，钥匙在链家,11000元/月,2室 2厅,高区/27层,朝南,浦东 源深,巨洋豪园,浦东大道1000弄1-3号
天诚花苑，简约二室，真实在租，实地看房,13500元/月,2室 1厅,高区/27层,暂无数据,长宁 中山公园,天诚花苑,武夷路416弄1-3号
交通便利，上门实拍，真实在租，简约二室,8000元/月,2室 2厅,低区/17层,暂无数据,闵行 梅陇,西班牙名园,罗秀路1980弄
南北户型，链家有钥匙，精致户型，链家房源,6000元/月,2室 1厅,高区/6层,朝南北,浦东 花木,牡丹小区（浦东）,"牡丹路145弄,"
虹桥世家花园，有钥匙方便看，2室1厅1卫，实地看房,9000元/月,2室 1厅,高区/18层,朝南,长宁 中山公园,虹桥世家花园（公寓）,中山西路189弄1-6号
放心好房，看房有钥匙，实地看房，闹中取静,3600元/月,1室 1厅,高区/6层,朝南,闸北 大宁,粤秀苑,粤秀路318弄
好房好心情，钥匙在链家，人气房源，一室小户型,2800元/月,1室 1厅,高区/6层,暂无数据,浦东 川沙,临河小区,华夏一路325弄
钥匙房，适合自住，好房待租，光线充足,6700元/月,2室 2厅,中区/18层,暂无数据,浦东 三林,未来域,御桥路288弄
两室户，附近有地铁，实地看房，真实在租,3600元/月,2室 1厅,高区/6层,朝南,宝山 大场镇,乾溪新村,"乾溪路100弄,"
中祥哥德堡，交通方便，链家好房，南北直通,6500元/月,2室 2厅,低区/14层,朝南北,闵行 莘庄,中祥哥德堡,珠城路99弄11-33号
永福路49弄，2室1厅，实地看房，链家房源,11000元/月,2室 1厅,中区/3层,暂无数据,徐汇 衡山路,永福路49弄,永福路49弄
钥匙在店，放心好房，小户型，好楼层,5800元/月,1室 2厅,中区/22层,朝北,普陀 甘泉宜川,西部大楼,志丹路97弄
钥匙在链家，实地看房，一链倾城，上门实拍,9000元/月,1室 2厅,低区/18层,暂无数据,长宁 天山,河风丽景,天山路88弄
光新路430弄，交通便利，有钥匙，一链倾城,3600元/月,1室 1厅,高区/7层,朝东南,普陀 光新,光新路430弄,光新路430弄
3室1厅，实地看房，上门实拍，钥匙在链家,9500元/月,3室 1厅,低区/27层,暂无数据,黄浦 蓬莱公园,仁宝公寓,陆家浜路468弄88、98号
新领地，光线充足，出行方便，有钥匙方便看,6000元/月,1室 1厅,中区/29层,暂无数据,浦东 花木,新领地,杜鹃路188弄
枫林新村，1室1厅1卫，高清照片，看房方便,4200元/月,1室 1厅,高区/6层,暂无数据,徐汇 斜土路,枫林新村,零陵路250弄1-59号
王满小区，交通方便，人气房源，看房有钥匙,4000元/月,1室 1厅,中区/5层,暂无数据,长宁 西郊,王满小区,哈密路1800弄
生活很便利，人气房源，简约二室，看房方便,13000元/月,2室 2厅,中区/14层,朝南北,浦东 花木,大唐盛世花园,樱花路801弄，樱花路802弄，白杨路1......
锦三角花园，3室2厅2卫，视野很好，高清大图,10000元/月,3室 2厅,高区/11层,朝南北,浦东 北蔡,锦三角花园（公寓）,锦绣路2885弄1-37号
名仕苑，地铁沿线，上门实勘，一链倾城,13000元/月,1室 2厅,高区/33层,朝南,徐汇 徐家汇,名仕苑,"广元西路88号,广元西路98号,广元西路......"
南北通透，简约二室，人气房源，如您所见,4800元/月,2室 2厅,低区/14层,朝南北,松江 泗泾,金港花园（公寓）,"横港路155弄,古楼公路348弄"
有爱有家，高清实拍，实地看房，交通便利,11500元/月,2室 2厅,低区/20层,暂无数据,闵行 七宝,皇都花园（公寓）,顾戴路2000弄31-34、43-46、......
高清大图，好房好心情，交通方便，实地看房,3800元/月,2室 1厅,高区/6层,暂无数据,浦东 三林,凌兆新村上浦路510弄,上浦路510弄
泾东小区，有爱有家，视野很好，链家有钥匙,3500元/月,1室 1厅,高区/6层,朝南,浦东 洋泾,泾东小区,"博山路11弄,博山路13弄,博山路51弄......"
东方曼哈顿，链家房源，实地看房，链家有钥匙,13500元/月,2室 2厅,低区/35层,朝西南,徐汇 徐家汇,东方曼哈顿,虹桥路168号
宜川一村，实地看房，采光好，有爱有家,3800元/月,2室 1厅,高区/6层,朝南,普陀 甘泉宜川,宜川一村,宜川一村
如您所见，实地看房，钥匙在链家，南北直通,7000元/月,2室 2厅,低区/6层,朝南北,浦东 金杨,通联苑,"居家桥路688弄（一期）,博山东路188......"
梅园二街坊，出行方便，链家房源，看房方便,6500元/月,2室 1厅,中区/6层,朝南北,浦东 源深,梅园二街坊,"福山路40弄,栖霞路300弄"
康乐花园，实地看房，2室2厅1卫，交通方便,7000元/月,2室 2厅,低区/6层,暂无数据,浦东 塘桥,康乐花园（浦东）,临沂北路255弄
三乐新村，生活很便利，实地看房，看房有钥匙,4500元/月,1室 0厅,中区/6层,朝南北,静安 江宁路,三乐新村,"昌平路88弄,昌化路400弄,昌化路41......"
有爱有家，视野开阔，钥匙在店，小户型,4500元/月,1室 1厅,高区/6层,暂无数据,闸北 大宁,谈家桥路80弄,谈家桥路80弄
交通方便，低楼层，好房待租，简约二室,5500元/月,2室 1厅,低区/6层,朝南,浦东 源深,梅园四街坊,"福山路100弄,"
明佳公寓，高清大图，生活很便利，钥匙在店,6500元/月,2室 2厅,中区/28层,朝西南,徐汇 田林,明佳公寓,桂林路565号
古北瑞仕花园，有钥匙方便看，人气房源，南北直通,24000元/月,3室 2厅,高区/28层,朝南北,长宁 古北,古北瑞仕花园,黄金城道500弄
高区景观好，2室2厅1卫，真实在租，近地铁,5000元/月,2室 2厅,高区/6层,朝南,宝山 杨行,天馨花园（公寓）,蕴川路1498弄
好房待租，钥匙在店，3室2厅，出行方便,9000元/月,3室 2厅,中区/11层,暂无数据,闸北 阳城,阳城贵都,阳城路280弄
凯旋花苑，人气房源，有钥匙房源，链家好房,10000元/月,2室 2厅,低区/33层,暂无数据,徐汇 徐家汇,凯旋花苑,中漕路111号
新长征花苑，采光好，好房好心情，两室户,5500元/月,2室 1厅,高区/6层,暂无数据,普陀 长征,新长征花苑,"清峪路81弄,清峪路130弄"
2室1厅1卫，交通方便，如您所见，上门实拍,6000元/月,2室 1厅,中区/6层,朝南,黄浦 五里桥,瞿溪路937弄,瞿溪路937弄
真实在租，人气房源，一室小户型，有钥匙方便看,4800元/月,1室 1厅,高区/6层,朝南,闵行 金虹桥,红春一公寓,虹梅路3330弄
民华小区，精致户型，实地看房，有钥匙方便看,3800元/月,2室 1厅,中区/6层,暂无数据,虹口 江湾镇,民华小区,三门路750弄
出行方便，高清大图，光线充足，有钥匙房源,15000元/月,3室 2厅,中区/24层,朝南北,浦东 源深,陆家嘴花园(一期),桃林路815弄
未来域，享受好房，简约二室，人气房源,6500元/月,2室 2厅,高区/6层,暂无数据,浦东 三林,未来域,御桥路288弄
新湖云庭，交通方便，2室2厅，看房有钥匙,12000元/月,2室 2厅,低区/23层,朝东南,徐汇 斜土路,新湖云庭,"小木桥路518弄,小木桥路538弄"
高区景观房，看房有钥匙，享受好房，交通方便,5000元/月,2室 1厅,高区/12层,朝南,闸北 彭浦,芳苑小区,场中路1909弄
上门实勘，适合自住，附近有地铁，享受好房,5600元/月,2室 1厅,低区/6层,朝南,浦东 潍坊,潍坊四村,"浦电300弄,浦电路479弄"
人气房源，生活很便利，光线非常好，好房好心情,16000元/月,3室 2厅,高区/28层,朝南,浦东 源深,陆家嘴国际华城,张杨路1515弄
附近有地铁，视野开阔，有爱有家，1室1厅,4300元/月,1室 1厅,高区/6层,暂无数据,杨浦 五角场,建新小区,邯郸路470弄
交通便利，视野开阔，适合自住，看房方便,4600元/月,2室 1厅,高区/6层,朝南,浦东 金桥,浦三小区,博兴路799弄
有爱有家，好楼层，上门实勘，出行方便,6200元/月,3室 1厅,中区/6层,朝南北,闵行 七宝,民主路91号,民主路91号
凌兆新村，好楼层，好房好心情，附近有地铁,3700元/月,1室 1厅,中区/6层,朝南,浦东 三林,凌兆新村,上浦路202弄
生活很便利，高清照片，放心好房，两室户,20000元/月,2室 2厅,低区/28层,暂无数据,长宁 镇宁路,尚泰里,东诸安浜路103号（1号楼）
采光棒，2室0厅，交通方便，有钥匙房源,8000元/月,2室 0厅,高区/6层,暂无数据,徐汇 徐家汇,王家堂小区,"南丹东路100弄,斜土路2561弄"
上南花城，钥匙在店，上门实勘，好房好心情,11000元/月,3室 2厅,高区/6层,暂无数据,浦东 世博,上南花城,"耀华路85弄,耀华路87弄"
一室小户型，放心好房，钥匙在店，视野开阔,3800元/月,1室 1厅,高区/6层,朝南,闵行 古美,古美七村,平阳路50弄
嘉亭菁苑，出行方便，两室户，人气房源,6000元/月,2室 2厅,低区/27层,暂无数据,嘉定 安亭,嘉亭菁苑,墨玉南路1011弄
附近有地铁，高区景观好，上门实拍，简约二室,11500元/月,2室 1厅,高区/25层,朝南,普陀 长寿路,乐活居,"陕西北路1688弄,澳门路508号"
九歌上郡，南北直通，简约二室，近地铁,11500元/月,2室 2厅,中区/12层,朝南北,闵行 静安新城,九歌上郡,宜山路2328弄
2室1厅1卫，看房有钥匙，采光好，人气房源,4300元/月,2室 1厅,高区/18层,暂无数据,宝山 高境,杰圣家苑,殷高西路331弄
控江小区，享受好房，出行方便，小户型,3000元/月,1室 1厅,中区/5层,暂无数据,杨浦 鞍山,控江小区,锦西路100弄
曹杨二村，生活很便利，实地看房，高区景观房,3900元/月,2室 0厅,高区/6层,朝西北,普陀 曹杨,曹杨二村,"曹杨路1107弄,"
链家房源，3房出租，钥匙在店，地铁沿线,6500元/月,3室 1厅,低区/6层,暂无数据,浦东 三林,恒大华城东林苑,西营南路68弄
上门实拍，钥匙在链家，实地看房，光线充足,8500元/月,2室 2厅,中区/31层,朝南,黄浦 打浦桥,东晖花苑,打浦路398弄
凯欣豪园，有钥匙方便看，人气房源，放心好房,12000元/月,1室 1厅,高区/31层,朝南,长宁 中山公园,凯欣豪园,汇川路88弄
华升公寓，闹中取静，看房方便，近地铁,7500元/月,2室 2厅,高区/34层,朝南,杨浦 周家嘴路,华升公寓,控江路1545弄1-2号
盛世年华，如您所见，3房出租，地铁沿线,13800元/月,3室 2厅,低区/25层,暂无数据,浦东 源深,盛世年华,羽山路100弄
大上海国际花园十五区，实地看房，附近有地铁，好房待租,7500元/月,2室 2厅,高区/6层,暂无数据,闵行 静安新城,大上海国际花园十五区,漕宝路1555弄十五区1-21号
乐业公寓，近地铁，高清大图，享受好房,7400元/月,2室 2厅,高区/6层,朝南北,闸北 闸北公园,乐业公寓,俞泾港路15弄1-19号
新城名庭，精致户型，低区出入方便，人气房源,9000元/月,2室 2厅,低区/11层,朝南北,浦东 洋泾,新城名庭,羽山路851弄
光线充足，交通便利，有钥匙方便看，好房待租,6100元/月,2室 0厅,中区/32层,暂无数据,黄浦 蓬莱公园,西凌新邨,"西凌家宅路27弄,西藏南路1374弄,西......"
生活很便利，2室2厅，链家有钥匙，好房待租,8000元/月,2室 2厅,高区/25层,暂无数据,徐汇 徐家汇,玉兰花苑,"蒲汇塘路50号,漕溪北路玉兰花苑"
高区采光好，实地看房，好房待租，交通方便,15000元/月,3室 2厅,高区/23层,暂无数据,闵行 古美,万源城朗郡,万源路986弄
东陆新村七街坊，好楼层，真实在租，附近有地铁,4000元/月,2室 1厅,中区/6层,暂无数据,浦东 金桥,东陆新村七街坊,"五莲路1424弄,博兴路1663弄"
西雅图嘉萱苑，两室户，人气房源，链家好房,9500元/月,2室 1厅,低区/26层,暂无数据,徐汇 龙华,西雅图嘉萱苑,三江路88弄
钥匙在店，真实在租，人气房源，改善住房,18600元/月,3室 2厅,中区/31层,暂无数据,徐汇 徐家汇,莱诗邸,南丹东路223弄
如您所见，交通便利，人气房源，上下楼方便,6000元/月,2室 1厅,低区/6层,暂无数据,闵行 金虹桥,上虹新村,"莲花路2150弄,莲花路2151弄"
新华小区，链家有钥匙，上下楼方便，实地看房,2600元/月,2室 1厅,低区/6层,暂无数据,闵行 老闵行,新华小区,"鹤庆路411弄,鹤庆路585弄,鹤庆路6......"
场中小区，享受好房，小户型，高清照片,2600元/月,1室 1厅,高区/7层,暂无数据,闸北 彭浦,场中小区,"场中路2187弄,"
好房好心情，有钥匙，人气房源，2室1厅1卫,3700元/月,2室 1厅,高区/6层,朝南,宝山 上大,当代高邸,"聚丰园路95弄,聚丰园路105弄"
看房方便，低楼层，人气房源，交通便利,7600元/月,2室 1厅,低区/11层,朝南,长宁 仙霞,古宋小区,茅台路600弄
欣逸家园，钥匙在链家，高清大图，好楼层,5000元/月,1室 1厅,中区/17层,朝南,虹口 江湾镇,欣逸家园,纪念路555弄
香楠小区，空气清新，享受好房，高清实拍,5200元/月,2室 1厅,中区/6层,朝南,浦东 张江,香楠小区,"香楠路39弄,香楠路65弄,香楠路199......"
看房有钥匙，简约二室，南北直通，高清实拍,2100元/月,2室 1厅,高区/5层,朝南北,青浦 盈浦,海天苑,胜利路295弄
中远两湾城，温馨一室，钥匙在链家，地铁沿线,5800元/月,1室 2厅,中区/34层,朝南,普陀 中远两湾城,中远两湾城,"远景路97弄、中潭路100弄（四期）,"
高区采光好，人气房源，生活很便利，如您所见,15000元/月,1室 1厅,高区/29层,朝南,静安 南京西路,静安紫苑,江宁路356弄5号
空气清新，房型正气，附近有地铁，看房方便,7000元/月,3室 2厅,中区/27层,朝南北,浦东 御桥,地杰国际城D街坊,御水路199弄1-19号
实地看房，高清照片，如您所见，好楼层,1700元/月,1室 1厅,中区/6层,暂无数据,闵行 老闵行,凤庆小区,"碧江路501弄,"
延北小区，链家有钥匙，温馨一室，实地看房,5000元/月,1室 1厅,中区/5层,暂无数据,长宁 西郊,延北小区,"延安西路2799弄,虹梅路3888弄"
阜新路284弄，交通方便，适合自住，闹中取静,7000元/月,2室 1厅,高区/6层,暂无数据,杨浦 鞍山,阜新路284弄,阜新路284弄
上海绿城，有爱有家，4室2厅，钥匙房,30000元/月,4室 2厅,高区/25层,暂无数据,浦东 杨东,上海绿城,锦和路99弄
建发玖珑湾，有钥匙房源，近地铁，实地看房,5500元/月,3室 2厅,高区/16层,暂无数据,松江 泗泾,建发玖珑湾,外婆泾路299弄
龙南七村，2室0厅1卫，钥匙在链家，交通方便,4400元/月,2室 0厅,中区/6层,朝南,徐汇 龙华,龙南七村,"龙南七村1-81号,龙吴路510弄"
光线棒，一室小户型，有爱有家，有钥匙,4200元/月,1室 1厅,高区/6层,暂无数据,普陀 长风,梅川一街坊,"梅岭北路1101弄,梅川路800弄,大渡......"
有钥匙方便看，附近有地铁，好楼层，实地看房,9200元/月,2室 1厅,中区/22层,朝南,普陀 长寿路,世纪之门,江宁路1415弄
看房方便，交通便利，链家房源，改善住房,6300元/月,3室 2厅,低区/12层,朝南,虹口 凉城,珊瑚苑,广中路680弄
宜川六村，如您所见，交通便利，链家有钥匙,3100元/月,1室 0厅,高区/5层,朝南,普陀 甘泉宜川,宜川六村,宜川六村
梅园四街坊，适合自住，空气清新，人气房源,6000元/月,2室 1厅,中区/6层,朝南,浦东 源深,梅园四街坊,"福山路100弄,"
长源小区，实地看房，出行方便，1室1厅1卫,4500元/月,1室 1厅,高区/6层,暂无数据,长宁 中山公园,长源小区,江苏路502弄40支弄
虹桥花苑，闹中取静，生活很便利，房型正气,22000元/月,4室 3厅,高区/16层,朝南北,闵行 金虹桥,虹桥花苑,虹梅路3200弄
富力桃园，看房方便，空气清新，地铁沿线,3500元/月,2室 2厅,中区/12层,朝南,青浦 盈浦,富力桃园（公寓）,"清河湾路388弄,清河湾路706弄"
嘉宝梦之湾，一链倾城，南北户型，3室2厅1卫,3500元/月,3室 2厅,中区/11层,朝南北,嘉定 菊园新区,嘉宝梦之湾（公寓）,平城路2055弄
好楼层，南北户型，简约二室，近地铁,11000元/月,2室 2厅,中区/32层,朝南北,闸北 西藏北路,绿洲雅宾利花园（一期）,"中华新路288弄（一期）,"
链家房源，低区出入方便，实地看房，出行方便,5100元/月,2室 2厅,低区/6层,朝南北,宝山 淞南,逸居苑,淞南路111弄
临河小区，高区采光好，上门实拍，附近有地铁,3800元/月,2室 2厅,高区/6层,朝南,浦东 川沙,临河小区,华夏一路325弄
真实在租，实地看房，高清大图，看房方便,8800元/月,3室 2厅,低区/18层,暂无数据,闵行 静安新城,静安新城四区,漕宝路1467弄四区
实地看房，近地铁，1室1厅1卫，链家好房,3300元/月,1室 1厅,中区/6层,暂无数据,杨浦 中原,工农三村,工农三村
玉四小区，1室2厅，链家有钥匙，链家房源,5000元/月,1室 2厅,高区/6层,暂无数据,虹口 曲阳,玉四小区,"玉田路97号,玉田路311弄"
微山三村，2室1厅1卫，好房好心情，钥匙在店,5000元/月,2室 1厅,高区/6层,暂无数据,浦东 塘桥,微山三村,微山三村
出行方便，两室户，有钥匙方便看，低区出入方便,6000元/月,2室 1厅,低区/12层,朝南,杨浦 周家嘴路,飞虹路1047弄,飞虹路1047弄
温馨之家，上门实勘，钥匙房，交通方便,3600元/月,1室 0厅,中区/6层,朝南,杨浦 鞍山,鞍山八村,彰武路1弄
如您所见，改善住房，交通方便，高清照片,17000元/月,3室 2厅,高区/20层,朝南,长宁 新华路,淮海世纪花苑,淮海西路358弄1-5号
海关大楼，链家好房，生活很便利，2室1厅1卫,5200元/月,2室 1厅,低区/22层,暂无数据,浦东 南码头,海关大楼,浦三路12弄
2室1厅1卫，上门实勘，链家房源，有钥匙房源,3500元/月,2室 1厅,低区/16层,朝南,宝山 淞宝,淞滨路165弄,淞滨路165弄
链家有钥匙，南北直通，适合自住，人气房源,6200元/月,2室 1厅,高区/7层,朝南北,静安 曹家渡,华纺小区,安远路899弄
钦江路47弄，交通方便，精致户型，高清实拍,4800元/月,2室 0厅,高区/7层,暂无数据,徐汇 漕河泾,钦江路47弄,钦江路47弄
东泉苑小区，人气房源，地铁沿线，适合自住,5200元/月,2室 1厅,高区/12层,暂无数据,普陀 甘泉宜川,东泉苑小区,"志丹路380弄,志丹路400弄,志丹路5......"
链家好房，交通方便，实地看房，2室1厅1卫,5500元/月,2室 1厅,中区/6层,暂无数据,浦东 世博,昌四小区,"昌里东路500弄,昌里东路550弄,南码......"
桃林小区，链家有钥匙，人气房源，好楼层,8200元/月,2室 2厅,中区/18层,朝南,浦东 源深,桃林小区,"民生路818弄,灵山路701弄"
陆家嘴花园二期，人气房源，看房方便，3室2厅2卫,16000元/月,3室 2厅,中区/25层,朝南,浦东 源深,陆家嘴花园(二期),羽山路308弄
视野开阔，看房方便，真实在租，上门实拍,9500元/月,1室 2厅,高区/31层,朝南,静安 江宁路,静安晶华园,陕西北路1155弄
交通方便，人气房源，好房好心情，高区阳光房,16500元/月,3室 2厅,高区/26层,朝南北,浦东 联洋,联洋年华,丁香路910弄
古北御庭，3房出租，有钥匙方便看，交通便利,21000元/月,3室 2厅,低区/18层,朝南北,浦东 北蔡,古北御庭,龙汇路55弄
适合自住，看房方便，放心好房，近地铁,5300元/月,2室 1厅,高区/7层,朝南,浦东 源深,桃林一小区,灵山路600弄
人气房源，小户型，放心好房，光线充足,8500元/月,1室 2厅,中区/31层,朝南,静安 江宁路,静安晶华园,陕西北路1155弄
平阳三街坊，真实在租，高清大图，人气房源,4500元/月,2室 1厅,高区/6层,朝南,闵行 古美,平阳三街坊,"平阳路1375弄,龙茗路701弄"
南大路20弄，有钥匙方便看，低区出入方便，实地看房,4000元/月,2室 0厅,中区/4层,朝南,宝山 大场镇,南大路20弄,南大路20弄
有爱有家，高区阳光房，实地看房，钥匙在店,3500元/月,2室 0厅,高区/6层,暂无数据,宝山 大场镇,乾溪新村,"乾溪路100弄,"
看房方便，交通方便，温馨一室，视野开阔,3300元/月,1室 0厅,高区/6层,朝东,普陀 真如,兰溪路243号,兰溪路243号
浦东南路2141弄，视野开阔，一链倾城，上门实拍,5000元/月,2室 1厅,高区/6层,暂无数据,浦东 塘桥,浦东南路2141弄,浦东南路2141弄
嘉华苑，人气房源，链家好房，空气清新,4500元/月,1室 1厅,中区/6层,朝南,宝山 大华,嘉华苑（宝山）,"新沪路197弄,新村路789弄"
好房好心情，有钥匙，出行方便，3房出租,13000元/月,3室 2厅,低区/24层,暂无数据,黄浦 蓬莱公园,海洲国际华园,国货路333弄
昌化路600弄，人气房源，看房方便，高清实拍,4500元/月,1室 0厅,低区/7层,暂无数据,静安 江宁路,昌化路600弄,昌化路600弄
链家房源，3室2厅2卫，视野很好，地铁沿线,13000元/月,3室 2厅,高区/30层,暂无数据,黄浦 蓬莱公园,新中苑,西藏南路1433弄
